Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,Menu8
fri,66,잡곡밥,떡국,동그랑땡전,오징어무침회,콩나물부추무침,포기김치,두유,
mon,188,차조밥,돈육김치찌개,생선까스타르타르S,어슷우엉콩조림,실곤약야채무침,포기김치,망고주스,
tue,117,완두콩밥,해물짬뽕국,짜장소스,칠리탕수육,만다린샐러드,포기김치,요구르트,
wed,107,흑미밥,닭개장,비엔나브로콜리볶음,두부무조림,오이부추무침,깍두기,수정과,
thu,83,후리가케밥,모듬어묵국,깐부오징어치킨,매콤떡볶이,수제피클,포기김치,그린샐러드,
fri,71,미니쌀밥,잔치국수,왕만두장,아삭고추된장무침,단무지,포기김치,비피더스,
mon,144,차조밥,맑은소고기무국,아귀콩나물찜,우엉강정,펜네샐러드파스타,포기김치,숭늉,
tue,124,강낭콩밥,배추시락국,돈육고추장볶음,달콤감자조림,오이부추생채,포기김치,유자차,
wed,119,완두콩밥,미니우동,피자치즈돈까스,브로콜리맛살볶음,단무지무침,깍두기,열대과일샐러드,
thu,107,취나물밥양념장,청양된장찌개,오징어제육볶음,참나물무생채,구이김,포기김치,찐빵,
fri,67,미니쌀밥,잔치국수,왕만두장,아삭고추된장무침,단무지,포기김치,비피더스,
mon,149,차조밥,얼큰콩나물국,매콤닭갈비볶음,콘치즈오븐구이,배추무생채,포기김치,숭늉,
tue,136,완두콩밥,북어미역국,브로콜리카레소스,피쉬앤칩스타르타르S,쫄면야채무침,포기김치,오미자차,
wed,116,김치볶음밥,미소된장국,갈릭마요미트볼,스크램블에그,그린샐러드키위D,김가루깍두기,밀감,
mon,91,강낭콩밥,홍합어묵탕,제육볶음,한식잡채,토마토샐러드,포기김치,유자차,
tue,55,잡곡밥,소고기국밥,오징어부추전,도토리묵무침,김가루무침,석박지,밤만쥬,
wed,145,차조밥,시락국,제육김치볶음,멸치견과류조림,봄동오이생채,무양파장아찌,숭늉,
thu,156,흑미밥,떡만두국,치킨까스샐러드,사각어묵볶음,마카로니콘범벅,포기김치,매실차,
fri,101,쌀밥,들깨미역국,나물비빔밥볶음고추장,돈육장조림,오징어젓갈무침,김무침포기김치,식혜,
mon,100,강낭콩밥,돈육김치찌개,비엔나떡볶음,깻잎멸치조림,콩나물무침,깍두기,약과,
tue,73,훈제오리볶음밥,얼큰어묵국,로제떡볶이,단무지무침,그린샐러드,포기김치,비피더스,
wed,169,차조밥,바지락무국,제육볶음,양념오뎅,봄동겉절이,포기김치,숭늉,
thu,135,쌀밥,파송송계란국,마파두부,맛쵸킹탕수육,그린샐러드키위D,포기김치,귤,
fri,109,강낭콩밥,맑은콩나물국,야채찜닭,우엉땅콩조림,양배추다시마쌈,포기김치,유자차,
mon,112,흑미밥,참치김치찌개,야채고로케케찹,맛살계란찜,솎음배추나물무침,깍두기,수정과,
tue,75,미니밥,칼국수,단호박고구마튀김,찐만두장,단무지,포기김치,밤만쥬,
wed,155,차조밥,얼큰소고기국,브로콜리비엔나볶음,우엉부추강정,펜네샐러드,포기김치,오미자차,
mon,157,검정콩밥,오징어콩나물국,제육두루치기,고구마맛탕,봄동무생채,포기김치,숭늉,
tue,110,닭갈비볶음밥,모듬어묵국,오징어까스타르타르S,그린샐러드,,깍두기,요구르트,
wed,110,강낭콩밥,도토리묵채국,돈육김치찜,알감자버터구이,삼색겨자냉채,무양파장아찌,망고주스,
thu,62,잡곡밥,떡국,동그랑땡전,오징어무침회,유채겉절이,포기김치,수정과,
fri,173,완두콩밥,들깨미역국,돈육찹스테이크,메쉬드포테이토모닝빵,콩나물무침,포기김치,그린샐러드,
mon,132,흑미밥,부대찌개,매콤오징어볶음,느타리버섯호박볶음,콘슬로우,포기김치,숭늉,
tue,138,강낭콩밥,시락국,제육간장볶음,야채비빔만두,봄동무생채,포기김치,동지 팥죽,
wed,138,차조밥,북어무채국,표고가지탕수육,양념두부조림,물미역초무침,포기김치,오미자차,
thu,81,김치볶음밥,유부장국,청양크림함박,그린샐러드,,깍두기,귤,
fri,183,귀리밥,홍합어묵탕,제육볶음,온두부양념장,봄동시저샐러드,볶음김치,숭늉,
mon,116,강낭콩밥,얼큰콩나물국,뼈없는안동찜닭,연근새우깡,참나물무생채,포기김치,유자차,
tue,114,완두콩밥,크림스프,돈까스샐러드,미트스파게티,수제피클,포기김치,마늘빵,
fri,185,차조밥,떡만두국,콩나물불고기,오징어어묵무침,상추쌈쌈장,포기김치,숭늉,
mon,162,강낭콩밥,돈육김치찌개,비엔나푸실리볶음,깻잎멸치조림,동초무생채,포기김치,망고주스,
tue,139,참치마요밥버거,유부가쓰오장국,매콤국물떡볶이,모듬튀김,만다린샐러드,단무지무침,쥬시쿨,
wed,133,흑미밥,등뼈감자탕,계란장조림,콩나물무침,오이고추된장무침,깍두기,식혜,
thu,99,잡곡밥,바지락순두부찌개,생선까스타르타르S,쫄면야채무침,모듬콩조림,포기김치,매실차,
fri,157,강낭콩밥,얼큰소고기국,궁중떡볶이,야채고로케케찹,유채겉절이,포기김치,숭늉,
mon,175,흑미밥,시락국,제육볶음,콘치즈버터구이,콩나물무침,포기김치,수정과,
tue,149,완두콩밥,미소된장국,등심돈까스,수제비뇨끼,양배추샐러드,깍두기,요구르트,
wed,93,콩나물밥양념장,냉이된장국,코다리무조림,참나물무생채,구이김,포기김치,유자차,
thu,101,치킨마요덮밥,김치두부국,사각어묵볶음,감자튀김케찹,그린샐러드,포기김치,망고주스,
